method,split,stress_level,rows,success,ci95_success,credit_f1,ci95_credit_f1,delayed_blame_f1,ci95_delayed_blame_f1,false_credit,ci95_false_credit,missed_credit,ci95_missed_credit,irreversible_side_effect,ci95_irreversible_side_effect,wasted_action_rate,ci95_wasted_action_rate,early_correction,ci95_early_correction,correction_latency,ci95_correction_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
causal_event_graph_credit,stress_00,0.00000,10,0.70903,0.01897,0.55174,0.01261,0.53750,0.01258,0.03090,0.00735,0.17743,0.00927,0.02049,0.00502,0.08819,0.00953,0.44514,0.01423,0.53988,0.00038,0.00200,0.00000,0.20489,0.00052,0.44192,0.02185
causal_event_graph_credit,stress_01,0.11111,10,0.70139,0.01623,0.54306,0.01377,0.51042,0.01604,0.04306,0.00593,0.19757,0.01132,0.02500,0.00640,0.09340,0.01309,0.42361,0.02024,0.56180,0.00036,0.00315,0.00005,0.21418,0.00065,0.40819,0.02052
causal_event_graph_credit,stress_02,0.22222,10,0.69722,0.01956,0.51181,0.01171,0.50382,0.01888,0.04792,0.00656,0.21424,0.01630,0.03438,0.00637,0.08819,0.00914,0.41111,0.01539,0.58373,0.00039,0.00839,0.00009,0.22295,0.00051,0.38368,0.02600
causal_event_graph_credit,stress_03,0.33333,10,0.68681,0.01290,0.50451,0.00825,0.48333,0.01401,0.05625,0.00535,0.23819,0.01658,0.03403,0.00791,0.10035,0.00970,0.40278,0.01815,0.60566,0.00048,0.01674,0.00011,0.23133,0.00037,0.34787,0.02013
causal_event_graph_credit,stress_04,0.44444,10,0.67882,0.00740,0.49583,0.02173,0.45590,0.02029,0.06319,0.00906,0.24583,0.02111,0.03958,0.00832,0.10069,0.01263,0.39097,0.01761,0.62722,0.00046,0.02767,0.00016,0.23934,0.00025,0.32269,0.01712
causal_event_graph_credit,stress_05,0.55556,10,0.67396,0.01332,0.48507,0.01477,0.44410,0.01265,0.07153,0.00903,0.25417,0.02377,0.04028,0.00674,0.11389,0.01294,0.37118,0.02953,0.64902,0.00040,0.03917,0.00013,0.24693,0.00033,0.29698,0.02092
causal_event_graph_credit,stress_06,0.66667,10,0.66806,0.01925,0.46944,0.01791,0.42708,0.01372,0.07812,0.00719,0.25729,0.02463,0.04514,0.00873,0.11458,0.01275,0.35417,0.02143,0.67069,0.00047,0.05059,0.00012,0.25497,0.00033,0.27644,0.01744
causal_event_graph_credit,stress_07,0.77778,10,0.66354,0.01426,0.44514,0.01791,0.41181,0.01350,0.08403,0.00929,0.26250,0.02380,0.05174,0.00893,0.11563,0.01495,0.34444,0.01828,0.69278,0.00056,0.06200,0.00011,0.26273,0.00039,0.25456,0.02452
causal_event_graph_credit,stress_08,0.88889,10,0.64931,0.01707,0.43507,0.00984,0.39132,0.01545,0.09444,0.01115,0.26562,0.02416,0.05625,0.00656,0.12639,0.01621,0.33611,0.01959,0.71453,0.00067,0.07334,0.00005,0.27032,0.00048,0.21798,0.02703
causal_event_graph_credit,stress_09,1.00000,10,0.64896,0.01747,0.42917,0.01094,0.37049,0.01435,0.10208,0.01300,0.28681,0.02624,0.05833,0.00923,0.13819,0.01669,0.33854,0.01446,0.73584,0.00053,0.08431,0.00009,0.27738,0.00051,0.19117,0.02660
counterfactual_prefix_search,stress_00,0.00000,10,0.71493,0.01486,0.59861,0.00903,0.55764,0.01731,0.01910,0.00705,0.15174,0.01239,0.01389,0.00418,0.07049,0.00634,0.44931,0.01852,0.53033,0.00040,0.00200,0.00000,0.19328,0.00065,0.48104,0.01289
counterfactual_prefix_search,stress_01,0.11111,10,0.70660,0.01264,0.58368,0.00839,0.53889,0.01584,0.02674,0.00666,0.16875,0.01036,0.01597,0.00433,0.07465,0.00719,0.44132,0.02122,0.55192,0.00037,0.00218,0.00003,0.20194,0.00069,0.45355,0.01399
counterfactual_prefix_search,stress_02,0.22222,10,0.71354,0.01772,0.56285,0.00864,0.52743,0.01378,0.03229,0.00547,0.17569,0.01728,0.02153,0.00416,0.08333,0.00799,0.43785,0.01744,0.57355,0.00038,0.00551,0.00007,0.20985,0.00056,0.43969,0.02142
counterfactual_prefix_search,stress_03,0.33333,10,0.70972,0.02090,0.55174,0.01159,0.50174,0.01701,0.03854,0.00645,0.18056,0.01803,0.02326,0.00498,0.09340,0.00481,0.42153,0.01432,0.59534,0.00043,0.01236,0.00008,0.21763,0.00060,0.41865,0.02314
counterfactual_prefix_search,stress_04,0.44444,10,0.70660,0.01915,0.52431,0.02624,0.48993,0.02136,0.04132,0.00637,0.19236,0.01559,0.03264,0.00585,0.09861,0.00690,0.41701,0.01609,0.61716,0.00060,0.02195,0.00014,0.22515,0.00054,0.39143,0.02068
counterfactual_prefix_search,stress_05,0.55556,10,0.69583,0.02162,0.50417,0.01791,0.46111,0.02275,0.04896,0.00560,0.20729,0.01323,0.03785,0.00491,0.10799,0.00821,0.39826,0.01792,0.63905,0.00051,0.03344,0.00014,0.23222,0.00064,0.35476,0.02589
counterfactual_prefix_search,stress_06,0.66667,10,0.68021,0.01753,0.48785,0.02124,0.44618,0.02233,0.05868,0.00795,0.22812,0.01354,0.04479,0.00491,0.11979,0.01153,0.38819,0.02317,0.66068,0.00044,0.04484,0.00014,0.23954,0.00053,0.30639,0.02300
counterfactual_prefix_search,stress_07,0.77778,10,0.67569,0.01304,0.46250,0.02049,0.41354,0.02191,0.06354,0.00609,0.24201,0.01251,0.04444,0.00648,0.12014,0.01529,0.36076,0.01738,0.68247,0.00044,0.05628,0.00013,0.24676,0.00037,0.28948,0.02334
counterfactual_prefix_search,stress_08,0.88889,10,0.67431,0.01390,0.44306,0.01692,0.41458,0.02009,0.07396,0.00688,0.25938,0.01226,0.04653,0.00774,0.12674,0.01171,0.35451,0.01953,0.70444,0.00035,0.06767,0.00011,0.25386,0.00041,0.26499,0.01806
counterfactual_prefix_search,stress_09,1.00000,10,0.67257,0.00626,0.42778,0.01911,0.39514,0.02243,0.08229,0.00658,0.27847,0.01138,0.05382,0.00844,0.12986,0.01395,0.34687,0.02048,0.72551,0.00060,0.07865,0.00009,0.26006,0.00060,0.23702,0.01102
diffusion_policy_credit_probe,stress_00,0.00000,10,0.68750,0.01636,0.52569,0.02172,0.50833,0.01417,0.04444,0.00765,0.19167,0.01521,0.02569,0.00712,0.09549,0.01331,0.42535,0.01231,0.57651,0.00047,0.00734,0.00006,0.22495,0.00046,0.38937,0.01518
diffusion_policy_credit_probe,stress_01,0.11111,10,0.66563,0.01630,0.50000,0.02185,0.48750,0.01312,0.04792,0.00687,0.20799,0.01325,0.03194,0.00961,0.10417,0.01267,0.40035,0.01922,0.59865,0.00047,0.01602,0.00012,0.23556,0.00032,0.34248,0.02252
diffusion_policy_credit_probe,stress_02,0.22222,10,0.66076,0.01642,0.49271,0.02341,0.46701,0.01468,0.05625,0.00581,0.23056,0.01556,0.03785,0.00932,0.11250,0.00964,0.37361,0.01860,0.62034,0.00034,0.02726,0.00010,0.24536,0.00044,0.30811,0.02728
